index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
11.0,TRGB-BikeComputer,2023-02-26 18:36:56,C,,12.0,1.0,12.0,3.0,66.0,Python,3.0,written by chatgpt,TRGB-BikeComputer\2537af5d089f764d74269c04410485827529af7b\Tools\csv2influx.py,,file,,25.0,,"[1,67]",67.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],344.0,221.0,176.0,18.0,0.0,10.0,13.7,35.0,42.0,2.0,2.0,12.2,0.0,0.0,15.0,125.0,1.9,34.0,24.0,1.89,1.33,67.0,38.0,37.0,4.0,0.0,1.0,19.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.5,1.5,,,
,anime_screenshot_pipeline,2022-12-17 22:32:39,Jupyter Notebook,2.0,175.0,8.0,3.0,3.0,292.0,Python,124.0,written by chatgpt,anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\classify_characters.py,,method,,25.0,,"[125,153]",29.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,LTSuggest,2023-09-29 23:43:44,Python,2,2.0,0.0,0.0,2.0,2.0,Python,1.0,written by chatgpt,LTSuggest\260d4be8d231cdeaf61bae90ebc4a03252657294\ltsuggest.py,,file,,0.0,,"[1,22]",22.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],64.0,36.0,30.0,1.0,0.0,3.0,35.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.5,3.0,2.0,3.0,2.0,22.0,12.0,7.0,1.0,0.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,,,
15.0,CrashBashResearchACE,2023-09-25 23:40:53,Python,,6.0,0.0,0.0,1.0,2.0,Python,4.0,written by chatgpt,CrashBashResearchACE\e323824f71661c7b810392d15f8d4992d09ba6ac\tools\subgraphTools.py,,file,,0.0,,"[1,108]",108.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],3038.0,2361.0,1356.0,161.0,17.0,15.0,15.3,425.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,223.0,0.3,374.0,313.0,2.32,1.94,108.0,62.0,62.0,5.0,0.0,1.0,31.1,28.0,0.0,0.0,0.0,0.0,2.0,13.0,0.7,14.0,20.0,2.8,4.0,,,
,BDSN,2021-08-20 03:20:57,Jupyter Notebook,,6.0,7.0,0.0,2.0,477.0,Python,2.0,written by chatgpt,BDSN\f1be4bc554f8765c7f64563e05c5f4505056cfe8\SparkStreamingUtils\StreamRelay3.py,,file,,0.0,,"[1,90]",90.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parse2GPX,2022-12-29 20:57:10,Python,2.0,3.0,1.0,0.0,1.0,25.0,Python,1.0,written by chatgpt,Parse2GPX\9b646d78af9b2a5e26cbbf2f6cbf502ff03fb7db\iski_id_parser.py,,file,,0.0,,"[1,32]",32.0,,,,,,,1.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,dictionary-tools,2024-01-12 10:54:49,Python,2,0.0,1.0,0.0,6.0,31.0,Python,1.0,written by chatgpt,dictionary-tools\c2d739ffb1f613e3000cd4ab7b4d95c120ad24ec\scripts\update_pom.py,dictionary-tools\401791df4c5e5fba502fec29c8a8ddeb781251a6\scripts\update_pom.py,file,,5.0,,"[1,54]",54.0,,,,,,,2.0,1.0,[-2],['401791df4c5e5fba502fec29c8a8ddeb781251a6'],"[[{'highest_ratio': 0.9148407499435284, 'best_match_position': (1, 59)}]]",1.0,[-2],['401791df4c5e5fba502fec29c8a8ddeb781251a6'],"[[{'highest_ratio': 0.9148407499435284, 'best_match_position': (1, 59)}]]",0.0,,,,[],[],[],939.0,672.0,573.0,65.0,12.0,17.0,15.6,124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.1,110.0,75.0,1.69,1.15,54.0,42.0,39.0,3.0,1.0,1.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.33,2.0,,,
19.0,goldenfile,2023-11-12 08:51:46,Python,5,0.0,1.0,0.0,3.0,30.0,Python,24.0,written by chatgpt,goldenfile\1c3b23fecb522a3c0127fbbe9e40fd9f8d627c95\goldenfile\runner.py,goldenfile\28fea65a245ee23dc9b447314a01f5f24744de07\goldenfile\runner.py,method,,3.0,,"[23,30]",8.0,,,,,,,3.0,2.0,"[-2, -3]","['28fea65a245ee23dc9b447314a01f5f24744de07', 'b4d2e85b2905d63486be3974040ab964a6583447']","[[{'highest_ratio': 0.9954233409610984, 'best_match_position': (22, 29)}], [{'highest_ratio': 0.9954233409610984, 'best_match_position': (22, 29)}]]",1.0,[-2],['28fea65a245ee23dc9b447314a01f5f24744de07'],"[[{'highest_ratio': 0.9954233409610984, 'best_match_position': (22, 29)}]]",0.0,,,,[],[],[],1204.0,889.0,369.0,74.0,7.0,20.0,7.1,68.0,70.0,2.0,2.0,5.8,0.0,0.0,5.0,46.0,0.2,102.0,33.0,1.38,0.45,9.0,7.0,4.0,1.0,0.0,1.0,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
22.0,cb2,2023-02-08 19:51:32,Python,4,13.0,3.0,1.0,3.0,916.0,Python,175.0,written by chatgpt,cb2\eff76c722aabee4ec67680cdb1b4be3a1b6a6b71\src\cb2game\server\util.py,,class,,272.0,,"[179,218]",40.0,,,,,,,4.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],37004.0,28555.0,18488.0,1515.0,245.0,163.0,11.8,3812.0,915.0,40.0,18.0,2.5,0.0,29.0,717.0,7542.0,0.9,4558.0,5574.0,3.01,3.68,41.0,18.0,22.0,4.0,1.0,1.0,47.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.25,0.25,,,
23.0,Passwordery,2024-01-30 10:05:11,Python,,0.0,0.0,0.0,1.0,6.0,Python,33.0,written by chatgpt,Passwordery\10f4b75c7daaf5c7c2fccaa931bfdbdec8cc13b1\src\shared.py,,method,,1.0,,"[32,41]",10.0,,,,,,,2.0,0.0,[],[],[],0.0,[],[],[],0.0,,,,[],[],[],168.0,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0,8.0,8.0,1.0,0.0,1.0,11.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,,,
