path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
AI-Powered-Document-Insights\4aa9666f610f63a251a5ec936b7dadab1213c9ee\myenv\Lib\site-packages\torch\_dynamo\eval_frame.py,1237,authored by chatgpt,no code,,,
apytorch\de2f63e382a1f008efa4abd05f18ede1b434b704\torch\_dynamo\eval_frame.py,1223,authored by chatgpt,no code,,,
pytorch_mlperf_comms_hooks\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105468\torch\_dynamo\eval_frame.py,844,authored by chatgpt,no code,,,
ZenDNN-pytorch\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
pytorch_test\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
MKBHD\4591194df38f2177b9f9903c204e006c08217ac0\mkbhd\Lib\site-packages\torch\_dynamo\eval_frame.py,1237,authored by chatgpt,no code,,,
pytorch_stream_mask\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
pytorch-macOS-cuda\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105477\torch\_dynamo\eval_frame.py,870,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105432\torch\_dynamo\eval_frame.py,869,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105438\torch\_dynamo\eval_frame.py,843,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105412\torch\_dynamo\eval_frame.py,841,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105392\torch\_dynamo\eval_frame.py,841,authored by chatgpt,no code,,,
llm-target-determinator\3f49ab515df480b1302a268715fe3422f91d3ba2\pytorch_prs_with_patch_100\105422\torch\_dynamo\eval_frame.py,841,authored by chatgpt,no code,,,
Chat-bot\c0b89e78ab2bcdfb4336b6e12e1d78e4efee9964\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1178,authored by chatgpt,no code,,,
capstone_2\eacac46134d62ccf057d6a81efdfbbddf2233f06\crawl\Lib\site-packages\torch\_dynamo\eval_frame.py,1178,authored by chatgpt,no code,,,
S24-Projects\8eff153176889b163c8a9f46447e387e376f2440\Unity\PelletGrabber\MLAgents_env_1\Lib\site-packages\torch\_dynamo\eval_frame.py,1178,authored by chatgpt,no code,,,
PNP\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
pytorch\ac07de4a61831bd23e2d3d270890cde3983d9257\torch\_dynamo\eval_frame.py,599,authored by chatgpt,no code,,,
chatbot\2f444d095035783cfd33e58d35fd35733747c91e\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
H.A.R.I.S\450c8bfd3ce017fed7bd19ee8dfb7298b81fee1e\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
vcftocsvcontactexporter\bd7a269f509a0fa03d2f75ea71284a70debf0402\python-3.11.6.amd64\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Python_GUI_Qt\1227a6651180b8d0996d7fa3cc088d9064932387\ANPR\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Soccer-Event-Detection\49e5c48838074c6906043d68a4ce590a948db2e4\scripts\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
A101-T6-QuanLySieuThiMini\1de56982cb805ce045bd61e3e05aa67f4b6399e3\Chatbot\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
website_bot\01c5f3af0a8eac82f38925ce6082224bcd2d6901\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Portfolio\aec77dd7946785913d57917176fb7479ce317e4c\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Detect-Notifications\e8fce19b497f03c9128ffa6e003dfe1cc42244ee\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
aichat\b5a50828a2c95c178e4699d9946a5bbf91070abe\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Virtual-University-Tour-With-Chatbot\5c9e664e82ffb2587649ad9c16659a71769ce736\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
TWP_2\2b04d8a52794d590008a7c12b1e57d8a99fdb840\TWP_2\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
SeerahProject\b94a7d3a90a7bdd7410e0fba7e348d5461eba283\flask-server\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
Object-Detection-Capstone\dcf3ef95fdd63c654da91e2fe1881f070af73a42\OneDrive\Desktop\Projects\Object Detection\objdet\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
LLAMA2-HealthCare-Chatbot\6b1634b40a44d80296d58107e7407d121cbac4d4\env\Lib\site-packages\torch\_dynamo\eval_frame.py,1022,authored by chatgpt,no code,,,
ECE342\8ff05c18b12b5c11299837269dac8c49584b38ed\project\serial_monitor\serial_monitor_lab_06_final\torch\_dynamo\eval_frame.py,1237,authored by chatgpt,no code,,,
DnlLLM\36775cbcc1f64068b3ab3217d7e5efbb477462dc\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
Stock-Price-Predictor\547a074d1ac2d16c70e98043f22c7e6578d2de26\.myenv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
summarizer\025ced09dd338446ed2f5d872841b01aacfea37f\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
bball_instanceseg\58a34184b54e10e494b05a815390cdb72d3e1861\.venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
MagicMic\3e6c032e311a9ccee98f7343bc09bcc577761266\whisperAPIServer\myenv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
Intelligent-Document-Retrieval-and-Question-Answering-System-with-RAG-Approach\5be49aad376017dfa13e527acc8fdf172598d64d\DocumentSearch\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
hrtsv1\f93b067457657579e63502b97ce2fced816533a4\venv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
Personal-Project-Development\18d02e57359a0e45a5b322be5ecaab9c1c5ff569\myenv\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
Text-Summarisation\5a7ab598dbc7f066bfa2fd36eac8f9096cb94e22\env\Lib\site-packages\torch\_dynamo\eval_frame.py,1224,authored by chatgpt,no code,,,
BWX_Game_Jam01\60338f782ed9abaacc2f1d812eb93dcc44b39069\src\vec2.py,1,authored by copilot,file,"[1,98]",,
