path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
CsgoCheat\502860b9e10bbbc5df343f64e5376ea7a520d479\ValorantCheat\Classes\AimbotScanner.cs,78,generated by chatgpt,,
Student-Management-System\0c85c4615a523daf28468d8704271489ceba496b\Utilities\Input.cs,43,generated by chatgpt,,
unity-multiplayer-shooter\80011863a8f01468c9f31f2f22c08d34398dc2ec\Assets\SuperMultiplayerShooter\Scripts\Chat.cs,102,generated by chatgpt,,
Student-Management-System\e6b02bf66f62823ea988a55b9fb84062a34bb98d\Utilities\Cryptography.cs,10,generated by chatgpt,,
GitShadows3\1e872a77398a3d25d104f2efe9769341c8b0aa9a\IMM460Experiment2\Assets\Scripts\PlayerMovement\PlayerMovement.cs,5,generated by chatgpt,,
GitShadows3\882f970152fada8b0eaf390704eee31807158f90\IMM460Experiment2\Assets\Scripts\PlayerMovement\PlayerMovementOld.cs,4,generated by chatgpt,,
csharp-Protoshift\f7c4008b7fa85503364219b0267f421791fb23fd\HandlerGenerator\ProtoshiftEx\BasicCode\BasicCodeReader.cs,1,generated by chatgpt,,
ID721-Mobile-Projects\ee8948e3e48cad87e4c281f37b552634a8b62243\RunnyRun2\Assets\Scripts\VerticalMovement.cs,4,generated by chatgpt,,
csharp-Protoshift\556e199b097b4755a651edd97878fe76aa7670b7\KCP\Kcp\TraceList.cs,1,generated by chatgpt,,
EasyProtobuf\400b5a90d8ded5237846e573d9b1c78f41e01bb0\src\Util\Tools.cs,240,generated by chatgpt,,
GitShadows3\e5f64146eeb956fc50049c771909aeefd5744e2a\IMM460Experiment2\Assets\Scripts\InventorySystem\Pickup.cs,5,generated by chatgpt,,
GitShadows3\e5f64146eeb956fc50049c771909aeefd5744e2a\IMM460Experiment2\Assets\Scripts\InventorySystem\Slot.cs,5,generated by chatgpt,,
csharp-Protoshift\af316aa9a7d897f414020f2e49d04a86a5eafb6e\csharp-Protoshift\KCP\SpecialUdp\SocketUdpClient.cs,3,generated by chatgpt,,
CmlLib.Core.Auth.Microsoft.Uno\4b2b87b5450dfae6ed8fa1b7285729857a37fa58\XboxAuthNet.Game.Uno\Accounts\XboxGameAccountCollection.cs,101,generated by chatgpt,,
GitShadows3\882f970152fada8b0eaf390704eee31807158f90\IMM460Experiment2\Assets\Scripts\PlayerMovement\playerMovementInventory.cs,4,generated by chatgpt,,
csharp-logger\10b0e987caf0c3f7cc04df50e93e08f519808a2a\CSharp-Logger\Tools.cs,10,generated by chatgpt,,
dogfootman\84a74b8844bfe6b5f053330f274b5db702b2af04\DogFootMan\Assets\Scripts\ObjectManager.cs,145,generated by chatgpt,,
csharp-Protoshift\ea9eb50c9113c456275fce1918d1e402e2491fb0\HandlerGenerator\ProtoshiftEx\BasicCode\TxtReader.cs,1,generated by chatgpt,,
GAMES-103-Lab-123\28a7d3114c2f43d7703f3269d8e4ce9e9d9f7ebf\103-lab01\Matrix\MatrixUtils.cs,3,generated by chatgpt,,
GAMES-103-Lab-123\28a7d3114c2f43d7703f3269d8e4ce9e9d9f7ebf\103-lab03\Assets\Scripts\MatrixUtils.cs,3,generated by chatgpt,,
HBlog\387d399d65c968bffe76d004a2fd17bbe731cf0a\test\HBlog.UnitTests\TestHelper.cs,7,generated by chatgpt,,
2024-S-GROUP8-CW\d57713cd8f498457526e603cbc279c1dfd3fbe72\Crypto Wars\Assets\Scripts\Test_PlayMode\MapGenerationTest.cs,1,generated by chatgpt,,
ItemAnvil\7b11ffa536a72577ba65995c78a95625383c1d4f\Tests\PropertyBagTests.cs,7,generated by chatgpt,,
2024-S-GROUP8-CW\d57713cd8f498457526e603cbc279c1dfd3fbe72\Crypto Wars\Assets\Scripts\Test_EditMode\MapGenTest.cs,1,generated by chatgpt,,
Labyrinthian\1ccc85801f6b2eebe0b57644ca1d8ca0f0d5bcdc\Labyrinthian.Tests\DataStructures\StaticUnorderedListTest.cs,7,generated by chatgpt,,
csharp-Protoshift\72f9c6732eee296a44f1506673fa25527b3c3a0a\Tests\KcpTests\KcpPerformanceTest\Analysis\MainAnalysis.cs,421,generated by chatgpt,,
csharp-Protoshift\72f9c6732eee296a44f1506673fa25527b3c3a0a\Tests\KcpTests\SharedLib\KCP\SpecialUdp\Obsoleted\ConcurrentUdpClient.cs,1,generated by chatgpt,,
csharp-Protoshift\72f9c6732eee296a44f1506673fa25527b3c3a0a\Tests\KcpTests\SharedLib\KCP\SpecialUdp\SocketUdpClient.cs,5,generated by chatgpt,,
Builtopia\85f3dc41c990eeb913d1a219227663934a2efb30\Packages\com.projectdawn.navigation\Samples~\Scenarios\Runtime\AgentJump.cs,52,generated by chatgpt,,
FreeMote\fa5ce4e3e16322cd22bfafff53cf8612d04584ed\FreeMote.Psb\PsbExtension.cs,812,generated by copilot,,
ModLoader\c024202f45b453e4796118c1165d3f04005dbec0\utils\ModDependencyUtils.cs,149,generated by copilot,,
Shader-Practice\caa26c9ed21323c98968b3ce7a6ee28a18d6a4b2\Assets\EPS\SHTest\SHCompute.cs,10,generated by copilot,,
WinBot\1ee59ead1953f66a90e182210539b805a29506b2\Source\Commands\Fun\TicTacToeCommand.cs,19,generated by copilot,,
GhostHunterCorp-SaveEditor\910842474bd7f090111662629bc3323622d53baf\GhostHunterCorp-SaveEditor\PlayerData.cs,223,generated by copilot,,
Examen_Advanced_zenodesp\a7dfbd482357a16657d96a0b051ad38a8a04317d\Examen_Advanced_zenodesp\popup.xaml.cs,30,generated by copilot,,
youtube-amantinband-dotnet\6b955abb98a0cb28540337b471ae121c09c3964a\BuberDinner.Application\Common\Behaviors\ValidationBehavior.cs,33,generated by copilot,,
PlayerCustomization\917eecb5e0848bcfb44355211ee3ddce12130b4b\URLCharacterItems\URLCharacterItem.cs,336,generated by copilot,,
examenporject_Frameworks_zenodesp\c4c3ec2770f55c570524455e76279727855c14ae\examenporject_Frameworks_zenodesp\Services\MyUser.cs,16,generated by copilot,,
businessCase_trends3\Models\Achievement.cs,-1,,,
CoPilot\src\CoPilot.ORM\Scripting\ScriptBuilder.cs,-1,,,
Examen_Advanced_zenodesp\9d92f1bf39192abc1a6df4a587f5118050213d40\Examen_Advanced_zenodesp\Models\Appointment.cs,12,generated by copilot,,
NetRunner\ea2ca91a9f79020a117d6c23e16f233bf6d64c4b\Source\Commands\Fun\TicTacToeCommand.cs,19,generated by copilot,,
Examen_Advanced_zenodesp\a7dfbd482357a16657d96a0b051ad38a8a04317d\Examen_Advanced_zenodesp\MainWindow.xaml.cs,249,generated by copilot,,
Chirp\8a1a1b8516f343c857c1a355dc013eb93c554516\test\PlaywrightTest\UITest.cs,17,generated by copilot,,
Huppy\8ac432ba6f76f0c096987f3c9338701378a58cf7\src\Huppy\Huppy.Kernel\Constants\HuppyBasicMessages.cs,6,generated by gpt-3,,
upm\a9873d4425bed9c8c3a1383dff232453fb40e411\mobax\Module\Framework\com.jbk.ui\Runtime\LimitedClicker.cs,7,generated by gpt-4,,
NetArchTest.eNhancedEdition\1fa2adcf5b847f5e424d679b7d6f98c012f8e8f5\tests\NetArchTest.TestStructure\Metrics\ClassSmall.cs,9,generated by gpt-4,,
NetArchTest.eNhancedEdition\1fa2adcf5b847f5e424d679b7d6f98c012f8e8f5\tests\NetArchTest.TestStructure\Metrics\ClassLarge.cs,7,generated by gpt-4,,
spacepuppy-unity-framework-4.0\1fcaba75c14a9979601ff99b74f0b9ad608b2399\Framework\com.spacepuppy.ui\Runtime\src\UI\FlexibleGridLayoutGroup.cs,8,generated using chatgpt,,
CSVLint\463cfe09ba291ebc166585e3ef9f862ab70c05c4\CSVLintNppPlugin\CsvLint\CsvGenerateCode.cs,627,generated using chatgpt,,
projekt_002\4ae93e1737d83673c5369bae2776f022c3fa49b4\program\Program.cs,34,generated using chatgpt,,
PROG260_Week4\b12bc1d5e462ab17836cd3f7b198be86916ccd6e\PROG260_Week4\Program.cs,5,generated using chatgpt,,
PROG260_Week5\b08a673fb6192664919b031d5090ab4613bb9d98\VS22_ConsoleApp\Program.cs,6,generated using chatgpt,,
Ed-Fi-ODS\3a29412c7605624a83504b5070617d65ae4b0fed\Application\EdFi.Ods.Tests\EdFi.Ods.Api\Middleware\OdsInstanceIdentificationMiddlewareTests.cs,15,generated using chatgpt,,
Ed-Fi-ODS\3a29412c7605624a83504b5070617d65ae4b0fed\Application\EdFi.Ods.Tests\EdFi.Ods.Api\Middleware\OdsInstanceSelectorTests.cs,19,generated using chatgpt,,
LangLearningNotebookCore\a1bf044d1569c23c46fa677560f200a76035217e\NotebookDatabase\ArticleContext.cs,3,generated with copilot,,
semantic-kernel\b0a37ea16d11f1c7b4003539486e96d1c6da88dd\dotnet\src\SemanticKernel.UnitTests\Text\TextChunkerInternationalTests.cs,84,generated with gpt-4,,
