index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,comments,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,real_fixed_commit_number,real_fixed_commit_hash,real_fixed_commit_reason,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio
14,cars,2023-08-27 09:20:40,Java,,0,0,0,1,5,Java,9,generated by chatgpt,cars\ff76c49b86110b933e8cfa9d9677c1f76a5b53e5\src\main\java\dat3\car\config\MemberTestDataFactory.java,,file,,1,,"[1,45]",45,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],1900.0,1416.0,403.0,114.0,43.0,42.0,7.1,108.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,861.0,2.0,164.0,33.0,1.44,0.29,45.0,27.0,18.0,1.0,1.0,1.0,25.0,9.0,0.0,0.0,0.0,0.0,3.0,20.0,2.5,2.0,1.0,2.0,1.0,,,
17,SyntaxSorcerers,2023-10-04 20:06:09,JavaScript,4,0,2,25,3,172,Java,18,generated with chatgpt,SyntaxSorcerers\52a56c504d759424e78fbf465dd530f10b5badc1\frontend\app\src\main\java\com\example\frontend\apiwrappers\UBCGradesRequest.java,SyntaxSorcerers\f594cef2246ad9899dfc5b9227b51df9ee8162d3\frontend\app\src\main\java\com\example\frontend\apiwrappers\UBCGradesRequest.java,file,,38,,"[1,107]",107,,,,,,,2,1,[-2],['f594cef2246ad9899dfc5b9227b51df9ee8162d3'],"[[{'highest_ratio': 0.3187077057411046, 'best_match_position': (1, 33)}]]",1,[-2],['f594cef2246ad9899dfc5b9227b51df9ee8162d3'],"[[{'highest_ratio': 0.3187077057411046, 'best_match_position': (1, 33)}]]",0,,,,[],[],[],2945.0,2291.0,1124.0,108.0,25.0,20.0,5.3,129.0,124.0,8.0,4.0,4.2,0.0,0.0,89.0,645.0,0.9,287.0,193.0,2.66,1.79,107.0,77.0,20.0,7.0,4.0,1.0,7.2,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.1,9.0,6.0,1.29,0.86,,,
19,EventSnapQR,2024-02-04 17:59:56,Java,6,0,1,0,0,957,Java,21,generated by chatgpt,EventSnapQR\2d7d763f8b9a1326c5a2f787bb5e36b55fd78d22\app\src\main\java\com\example\eventsnapqr\ReverseGeocodingTask.java,,file,,200,,"[1,74]",74,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],10215.0,7729.0,3689.0,340.0,73.0,48.0,10.6,916.0,498.0,30.0,12.0,4.9,0.0,112.0,422.0,3378.0,1.5,1080.0,1276.0,3.18,3.75,74.0,46.0,20.0,3.0,1.0,1.0,13.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.33,0.67,,,
20,GPD_Projekt,2023-05-26 08:34:54,Java,,0,0,0,1,34,Java,25,generated by chatgpt,GPD_Projekt\336098348e294c49f6d293064eb468208cb7e99f\src\main\java\de\thi\services\ReadMember.java,GPD_Projekt\3d9c4928de81a0f4990bee27ab6446ee745cb87d\src\main\java\de\thi\services\ReadMember.java,statement,,6,,"[26,35]",10,,,,,,,9,8,"[-2, -3, -4, -5, -6, -7, -8, -9]","['6e717ac7b1813e3ecfe9e6635dc51b7b6665afa8', '77484821447f40e3ca16be2c01af81c379358ce7', '703df19db6fa50af59690a6fce0c122372c185d9', 'c5ba194abb1637d84a803201401fca26b24801dd', '36bc90a234bd2ffd2344bc234a2ec6e6b4bab030', 'e2ac90304d17a5db916fd5106276487c47d1b693', '3d9c4928de81a0f4990bee27ab6446ee745cb87d', 'd0b86a22d01c9767ce72c9870cb330e57d6524a4']","[[{'highest_ratio': 0.12558869701726844, 'best_match_position': (72, 81)}], [{'highest_ratio': 0.1468189233278956, 'best_match_position': (8, 17)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.19536423841059603, 'best_match_position': (10, 19)}], [{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}]]",6,"[-2, -3, -4, -6, -7, -8]","['6e717ac7b1813e3ecfe9e6635dc51b7b6665afa8', '77484821447f40e3ca16be2c01af81c379358ce7', '703df19db6fa50af59690a6fce0c122372c185d9', '36bc90a234bd2ffd2344bc234a2ec6e6b4bab030', 'e2ac90304d17a5db916fd5106276487c47d1b693', '3d9c4928de81a0f4990bee27ab6446ee745cb87d']","[[{'highest_ratio': 0.12558869701726844, 'best_match_position': (72, 81)}], [{'highest_ratio': 0.1468189233278956, 'best_match_position': (8, 17)}], [{'highest_ratio': 0.15620641562064155, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.19536423841059603, 'best_match_position': (10, 19)}], [{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}], [{'highest_ratio': 0.24469820554649266, 'best_match_position': (12, 21)}]]",1,,,,[-7],['e2ac90304d17a5db916fd5106276487c47d1b693'],"[[{'highest_ratio': 0.1275, 'best_match_position': (77, 86)}]]",224.0,145.0,32.0,19.0,6.0,6.0,9.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,0.8,19.0,1.0,1.0,0.05,13.0,3.0,3.0,0.0,0.0,1.0,30.0,3.0,0.0,0.0,0.0,0.0,3.0,30.0,14.3,0.0,0.0,0.0,0.0,,,
21,Java-Goal-Tracker-assignment,2024-04-30 09:41:11,Java,,0,0,0,1,4,Java,4,generated by chatgpt,Java-Goal-Tracker-assignment\68970bef587313a4eabb482600be15a638bdc2b7\App.java\src\RandomQuoteGenerator.java,,statement,,0,,"[5,54]",50,,,,,,input,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],1876.0,1315.0,755.0,93.0,17.0,16.0,16.4,258.0,34.0,2.0,2.0,1.8,0.0,2.0,123.0,932.0,2.4,174.0,96.0,1.87,1.03,53.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,1.9,0.0,0.0,0.0,0.0,,,
22,sp24-project1,2024-02-16 05:03:01,Java,,0,0,0,0,3,Java,18,generated by chatgpt,sp24-project1\fc5bc581cdddb20c11512faf65836604c3110123\src\main\java\student\Utilities.java,,method,,0,,"[20,58]",39,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],438.0,275.0,123.0,29.0,8.0,8.0,20.3,70.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,108.0,1.3,38.0,14.0,1.31,0.48,40.0,26.0,24.0,1.0,1.0,1.0,31.7,13.0,0.0,0.0,0.0,0.0,3.0,20.0,2.4,1.0,0.0,1.0,0.0,,,
24,chess,2024-01-11 02:35:18,Java,,0,0,0,1,144,Java,104,generated by chatgpt,chess\90fe3d7ce8a58aa2d33d7b6deb14e09498cf55af\shared\src\main\java\chess\ChessBoard.java,,method,,13,,"[108,125]",18,,,,,,,12,0,[],[],[],0,[],[],[],0,,,,[],[],[],3900.0,1895.0,768.0,166.0,33.0,24.0,23.4,578.0,314.0,8.0,3.0,8.1,0.0,0.0,78.0,761.0,1.3,275.0,116.0,1.66,0.7,19.0,15.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.9,5.0,7.0,5.0,7.0,,,
25,MatchScope,2024-01-10 06:10:35,Java,,1,0,0,1,2,Java,41,generated by chatgpt,MatchScope\b5dcea6053f21d5ece686f03f5006e224e6aa1d1\src\main\java\com\matchscope\Utils.java,,method,,0,,"[42,73]",32,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],3369.0,2646.0,1505.0,276.0,29.0,25.0,4.0,111.0,36.0,2.0,2.0,1.1,0.0,1.0,130.0,1033.0,1.3,613.0,580.0,2.22,2.1,33.0,28.0,19.0,1.0,1.0,1.0,6.3,2.0,0.0,0.0,0.0,0.0,3.0,20.0,2.2,9.0,13.0,9.0,13.0,,,
26,frequencyGameTheory,2023-04-10 23:48:03,Java,3,0,1,0,1,36,Java,7,generated by chatgpt,frequencyGameTheory\5a16c04bb972e83b676afb49f2d66e9f0e7b68da\frequencyGameTheory\src\Musician.java,,file,,7,,"[1,73]",73,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],1015.0,817.0,548.0,44.0,13.0,13.0,14.8,142.0,183.0,9.0,4.0,18.0,0.0,4.0,133.0,660.0,2.7,180.0,193.0,4.09,4.39,73.0,52.0,35.0,4.0,1.0,1.0,13.3,8.0,0.0,0.0,0.0,0.0,5.0,45.0,2.9,5.0,2.0,1.25,0.5,,,
27,mu_repository,2023-06-21 13:56:53,Java,2,0,4,0,1,19,Java,12,generated by chatgpt,mu_repository\e1339a67b44f710eb10b46975790df205373a494\app\src\main\java\de\ekert\mavendemo\ki\CountdownTimer.java,,file,,2,,"[1,58]",58,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],529.0,377.0,152.0,32.0,10.0,9.0,10.5,44.0,34.0,2.0,2.0,6.4,0.0,1.0,19.0,160.0,1.4,44.0,17.0,1.38,0.53,58.0,46.0,18.0,3.0,1.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,10.0,0.7,6.0,3.0,2.0,1.0,,,
28,Cars,2023-08-23 16:31:37,Java,,0,0,0,1,42,Java,28,generated by chatgpt,Cars\4c0b7bf8b36d22fa350e6226a8f36079b73a6d4f\src\main\java\dat3\car\config\DeveloperData.java,,statement,,5,,"[29,48]",20,,,,,,,5,0,[],[],[],0,[],[],[],0,,,,[],[],[],929.0,672.0,189.0,66.0,19.0,19.0,9.8,73.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,423.0,2.1,78.0,6.0,1.18,0.09,23.0,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.4,0.0,0.0,0.0,0.0,,,
29,Project,2024-01-26 19:36:01,Java,5,0,0,0,0,414,Java,11,generated by chatgpt,Project\358092c3879dc8598b958ef29dbd36e460e505e2\client\app\src\main\java\org\example\Pages\Login.java,Project\025350e168e489e90830621406cc553304740d12\client\app\src\main\java\org\example\Pages\Login.java,file,,9,,"[1,77]",77,,,,,,,2,1,[-2],['025350e168e489e90830621406cc553304740d12'],"[[{'highest_ratio': 0.9801268498942918, 'best_match_position': (1, 79)}]]",1,[-2],['025350e168e489e90830621406cc553304740d12'],"[[{'highest_ratio': 0.9801268498942918, 'best_match_position': (1, 79)}]]",0,,,,[],[],[],3542.0,2584.0,1138.0,243.0,98.0,54.0,6.7,187.0,162.0,2.0,2.0,4.6,0.0,6.0,105.0,673.0,0.9,270.0,67.0,1.11,0.28,77.0,57.0,35.0,2.0,2.0,1.0,10.9,7.0,0.0,0.0,0.0,0.0,2.0,15.0,0.9,3.0,3.0,1.5,1.5,,,
30,CSC-155--Lab3--Lighting,2023-04-10 06:31:56,Java,,1,0,0,1,61,Java,181,generated by chatgpt,CSC-155--Lab3--Lighting\7f069bd36fc173820ad0284b8dce1c5211ca7062\A4\a4\Code.java,,statement,,8,,"[185,193]",9,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],15384.0,12139.0,8366.0,975.0,72.0,64.0,7.2,936.0,11442.0,270.0,53.0,74.4,0.0,69.0,1527.0,12632.0,3.5,1583.0,930.0,1.62,0.95,12.0,7.0,2.0,0.0,0.0,1.0,8.3,1.0,0.0,0.0,0.0,0.0,2.0,15.0,4.5,2.0,0.0,2.0,0.0,,,
31,IDATT1003-TrainDispatchSystem,2023-10-17 11:47:53,Java,,1,0,0,0,137,Java,265,generated by chatgpt,IDATT1003-TrainDispatchSystem\57d221b39d72c7de4dda17eb54c9809f14aa6da7\src\main\java\edu\ntnu\stud\UserInterface.java,,statement,,23,,"[265,265]",1,,,,,,regular expression,7,0,[],[],[],0,[],[],[],0,,,,[],[],[],1686.0,1052.0,458.0,103.0,17.0,7.0,18.2,234.0,40.0,2.0,1.0,2.4,0.0,0.0,77.0,761.0,2.4,209.0,146.0,2.03,1.42,4.0,1.0,1.0,0.0,0.0,1.0,16.7,1.0,0.0,0.0,0.0,0.0,3.0,30.0,20.0,0.0,0.0,0.0,0.0,,,
32,team-panda,2023-02-21 05:12:58,Java,3,0,1,5,1,140,Java,57,generated by chatgpt,team-panda\349e2fd827d67eb9e4d1e9dbfb9659c8841ca467\src\main\java\edu\northeastern\cs5500\starterbot\command\DeliveryCommand.java,team-panda\d666e5e1caf9691e8cae201b989b996cedffbde2\src\main\java\edu\northeastern\cs5500\starterbot\command\DeliveryCommand.java,statement,,8,,"[56,57]",2,,,,,,,3,2,"[-2, -3]","['94e3ff1b56901555ecef0c47dc3a7939b6e03ad5', 'd666e5e1caf9691e8cae201b989b996cedffbde2']","[[{'highest_ratio': 0.4397905759162304, 'best_match_position': (57, 58)}], [{'highest_ratio': 0.9291338582677166, 'best_match_position': (69, 70)}]]",2,"[-2, -3]","['94e3ff1b56901555ecef0c47dc3a7939b6e03ad5', 'd666e5e1caf9691e8cae201b989b996cedffbde2']","[[{'highest_ratio': 0.4397905759162304, 'best_match_position': (57, 58)}], [{'highest_ratio': 0.9291338582677166, 'best_match_position': (69, 70)}]]",0,,,,[],[],[],2308.0,1709.0,508.0,185.0,37.0,36.0,9.2,174.0,221.0,14.0,8.0,9.6,0.0,0.0,42.0,379.0,0.7,226.0,61.0,1.22,0.33,5.0,2.0,1.0,0.0,0.0,1.0,14.3,1.0,0.0,0.0,0.0,0.0,1.0,10.0,5.6,0.0,0.0,0.0,0.0,,,
34,team-panda,2023-02-21 05:12:58,Java,3,0,1,5,1,140,Java,73,generated by chatgpt,team-panda\3df074284d87eafda088dc7f5b13f03ed2d714ad\src\main\java\edu\northeastern\cs5500\starterbot\controller\CartController.java,team-panda\8f235dee4e38febf8e8e6b40e2cec3d2f36062b5\src\main\java\edu\northeastern\cs5500\starterbot\controller\CartController.java,method,,8,,"[81,94]",14,,,,,,,2,1,[-2],['8f235dee4e38febf8e8e6b40e2cec3d2f36062b5'],"[[{'highest_ratio': 0.47098214285714285, 'best_match_position': (42, 55)}]]",1,[-2],['8f235dee4e38febf8e8e6b40e2cec3d2f36062b5'],"[[{'highest_ratio': 0.47098214285714285, 'best_match_position': (42, 55)}]]",0,,,,[],[],[],2112.0,1530.0,458.0,163.0,35.0,34.0,10.7,183.0,101.0,9.0,5.0,4.8,0.0,0.0,40.0,307.0,0.7,200.0,55.0,1.23,0.34,15.0,8.0,4.0,2.0,1.0,1.0,16.7,2.0,0.0,0.0,0.0,0.0,2.0,15.0,5.0,2.0,0.0,1.0,0.0,,,
35,team-panda,2023-02-21 05:12:58,Java,3,0,1,5,1,140,Java,85,generated by chatgpt,team-panda\d666e5e1caf9691e8cae201b989b996cedffbde2\src\main\java\edu\northeastern\cs5500\starterbot\command\CheckoutCommand.java,,statement,,8,,"[84,85]",2,,,,,,,1,0,[],[],[],0,[],[],[],0,,,,[],[],[],2274.0,1603.0,476.0,163.0,39.0,38.0,11.5,208.0,225.0,10.0,6.0,9.9,0.0,0.0,17.0,216.0,0.4,204.0,66.0,1.25,0.4,5.0,2.0,1.0,0.0,0.0,1.0,14.3,1.0,0.0,0.0,0.0,0.0,1.0,10.0,5.6,0.0,0.0,0.0,0.0,,,
